agent_type,random_seed,total_timesteps,total_distance,goal_reached,unique_locations,revisited_locations,shannon_entropy,grid_dims
DQN,1,16,16,1,17,0,0.9563961217991254,40x40
DQN,2,39,39,1,40,0,0.9502349896874962,40x40
DQN,3,51,51,1,52,0,0.9467838893223709,40x40
DQN,4,20,20,1,21,0,0.955366904934499,40x40
DQN,5,21,21,1,22,0,0.9551068416926887,40x40
DQN,6,200,6,0,7,194,1.6917575224968595,40x40
DQN,7,200,9,0,10,191,1.6536071692847498,40x40
DQN,8,200,29,0,30,171,1.467531427453482,40x40
DQN,9,47,47,1,48,0,0.9479524776196279,40x40
DQN,10,9,9,1,10,0,0.9581550223910682,40x40
DQN,11,25,25,1,26,0,0.9540555045562089,40x40
DQN,12,200,3,0,4,197,1.736200388058416,40x40
DQN,13,29,29,1,30,0,0.9529863593302038,40x40
DQN,14,200,24,0,25,176,1.506882637775186,40x40
DQN,15,200,2,0,3,198,1.753339856718095,40x40
DQN,16,200,9,0,10,191,1.6536071692847498,40x40
DQN,17,200,25,0,26,175,1.4987288878907836,40x40
DQN,18,5,5,1,6,0,0.9591361726045086,40x40
DQN,19,9,9,1,10,0,0.9581550223910682,40x40
DQN,20,27,27,1,28,0,0.9535231639133812,40x40
DQN,21,23,23,1,24,0,0.9545833930852325,40x40
DQN,22,200,3,0,4,197,1.736200388058416,40x40
DQN,23,200,200,1,21,180,1.3388880562021825,40x40
DQN,24,200,3,0,4,197,1.736200388058416,40x40
DQN,25,200,2,0,3,198,1.753339856718095,40x40
DQN,26,200,9,0,10,191,1.6536071692847498,40x40
DQN,27,11,11,1,12,0,0.9576579375156747,40x40
DQN,28,16,16,1,17,0,0.9563961217991254,40x40
DQN,29,200,22,0,23,178,1.523660076834361,40x40
DQN,30,10,10,1,11,0,0.9579070239749632,40x40
DQN,31,35,35,1,36,0,0.9513490492768703,40x40
DQN,32,19,19,1,20,0,0.9556258629308245,40x40
DQN,33,10,10,1,11,0,0.9579070239749632,40x40
DQN,34,13,13,1,14,0,0.9571564932320953,40x40
DQN,35,37,37,1,38,0,0.9507942781777161,40x40
DQN,36,24,24,1,25,0,0.954320004581436,40x40
DQN,37,20,20,1,21,0,0.955366904934499,40x40
DQN,38,19,19,1,20,0,0.9556258629308245,40x40
DQN,39,45,45,1,46,0,0.9485299267500977,40x40
DQN,40,20,20,1,21,0,0.955366904934499,40x40
DQN,41,8,8,1,9,0,0.9584019345981007,40x40
DQN,42,2,2,1,3,0,0.9598607026547633,40x40
DQN,43,28,28,1,29,0,0.9532553203390564,40x40
DQN,44,200,200,1,18,183,1.3468646384230702,40x40
DQN,45,40,40,1,41,0,0.9499536484316055,40x40
DQN,46,43,43,1,44,0,0.9491028228790023,40x40
DQN,47,200,200,0,34,167,1.2927416583818252,40x40
DQN,48,11,11,1,12,0,0.9576579375156747,40x40
DQN,49,200,200,0,15,186,1.3520548478950725,40x40
DQN,50,14,14,1,15,0,0.956904131841122,40x40
DQN,51,23,23,1,24,0,0.9545833930852325,40x40
DQN,52,40,40,1,41,0,0.9499536484316055,40x40
DQN,53,200,14,0,15,186,1.5983647330468904,40x40
DQN,54,42,42,1,43,0,0.9493875661406488,40x40
DQN,55,12,12,1,13,0,0.9574077611992534,40x40
DQN,56,200,25,0,26,175,1.4987288878907836,40x40
DQN,57,6,6,1,7,0,0.9588925078211195,40x40
DQN,58,200,19,0,20,181,1.5501195077165828,40x40
DQN,59,39,39,1,40,0,0.9502349896874962,40x40
DQN,60,24,24,1,25,0,0.954320004581436,40x40
DQN,61,11,11,1,12,0,0.9576579375156747,40x40
DQN,62,200,3,0,4,197,1.736200388058416,40x40
DQN,63,16,16,1,17,0,0.9563961217991254,40x40
DQN,64,47,47,1,48,0,0.9479524776196279,40x40
DQN,65,200,200,0,6,195,1.303564802481125,40x40
DQN,66,20,20,1,21,0,0.955366904934499,40x40
DQN,67,15,15,1,16,0,0.9566506752739603,40x40
DQN,68,26,26,1,27,0,0.9537898914968166,40x40
DQN,69,32,32,1,33,0,0.952172757611933,40x40
DQN,70,200,2,0,3,198,1.753339856718095,40x40
DQN,71,25,25,1,26,0,0.9540555045562089,40x40
DQN,72,16,16,1,17,0,0.9563961217991254,40x40
DQN,73,200,29,0,30,171,1.467531427453482,40x40
DQN,74,200,5,0,6,195,1.7056892838060633,40x40
DQN,75,15,15,1,16,0,0.9566506752739603,40x40
DQN,76,15,15,1,16,0,0.9566506752739603,40x40
DQN,77,21,21,1,22,0,0.9551068416926887,40x40
DQN,78,16,16,1,17,0,0.9563961217991254,40x40
DQN,79,28,28,1,29,0,0.9532553203390564,40x40
DQN,80,200,3,0,4,197,1.736200388058416,40x40
DQN,81,20,20,1,21,0,0.955366904934499,40x40
DQN,82,200,5,0,6,195,1.7056892838060633,40x40
DQN,83,17,17,1,18,0,0.9561404697061998,40x40
DQN,84,25,25,1,26,0,0.9540555045562089,40x40
DQN,85,200,41,0,42,159,1.3850405938252575,40x40
DQN,86,10,10,1,11,0,0.9579070239749632,40x40
DQN,87,14,14,1,15,0,0.956904131841122,40x40
DQN,88,14,14,1,15,0,0.956904131841122,40x40
DQN,89,37,37,1,38,0,0.9507942781777161,40x40
DQN,90,200,25,0,26,175,1.4987288878907836,40x40
DQN,91,40,40,1,41,0,0.9499536484316055,40x40
DQN,92,48,48,1,49,0,0.9476620432046126,40x40
DQN,93,35,35,1,36,0,0.9513490492768703,40x40
DQN,94,3,3,1,4,0,0.9596202680795951,40x40
DQN,95,16,16,1,17,0,0.9563961217991254,40x40
DQN,96,200,200,1,13,188,1.35288970120695,40x40
DQN,97,200,50,0,51,150,1.3316153707751992,40x40
DQN,98,20,20,1,21,0,0.955366904934499,40x40
DQN,99,200,8,0,9,192,1.6658043510429024,40x40
DQN,100,3,3,1,4,0,0.9596202680795951,40x40
DQN,101,15,15,1,16,0,0.9566506752739603,40x40
DQN,102,25,25,1,26,0,0.9540555045562089,40x40
DQN,103,31,31,1,32,0,0.952445079351467,40x40
DQN,104,19,19,1,20,0,0.9556258629308245,40x40
DQN,105,36,36,1,37,0,0.9510722277908435,40x40
DQN,106,11,11,1,12,0,0.9576579375156747,40x40
DQN,107,200,200,0,46,155,1.2472271814119158,40x40
DQN,108,22,22,1,23,0,0.954845671603012,40x40
DQN,109,19,19,1,20,0,0.9556258629308245,40x40
DQN,110,21,21,1,22,0,0.9551068416926887,40x40
DQN,111,18,18,1,19,0,0.9558837173060137,40x40
DQN,112,6,6,1,7,0,0.9588925078211195,40x40
DQN,113,44,44,1,45,0,0.9488169434317286,40x40
DQN,114,200,5,0,6,195,1.7056892838060633,40x40
DQN,115,3,3,1,4,0,0.9596202680795951,40x40
DQN,116,17,17,1,18,0,0.9561404697061998,40x40
DQN,117,200,200,1,35,166,1.2889281052141266,40x40
DQN,118,200,13,0,14,187,1.6087641202459004,40x40
DQN,119,200,200,1,6,195,1.303564802481125,40x40
DQN,120,200,15,0,16,185,1.5882388387217217,40x40
DQN,121,26,26,1,27,0,0.9537898914968166,40x40
DQN,122,200,44,0,45,156,1.3665367318468398,40x40
DQN,123,28,28,1,29,0,0.9532553203390564,40x40
DQN,124,10,10,1,11,0,0.9579070239749632,40x40
DQN,125,17,17,1,18,0,0.9561404697061998,40x40
DQN,126,5,5,1,6,0,0.9591361726045086,40x40
DQN,127,5,5,1,6,0,0.9591361726045086,40x40
DQN,128,200,200,0,38,163,1.2774809609103686,40x40
DQN,129,5,5,1,6,0,0.9591361726045086,40x40
DQN,130,4,4,1,5,0,0.9593787587132672,40x40
DQN,131,23,23,1,24,0,0.9545833930852325,40x40
DQN,132,200,5,0,6,195,1.7056892838060633,40x40
DQN,133,18,18,1,19,0,0.9558837173060137,40x40
DQN,134,10,10,1,11,0,0.9579070239749632,40x40
DQN,135,200,37,0,38,163,1.410925436928649,40x40
DQN,136,35,35,1,36,0,0.9513490492768703,40x40
DQN,137,26,26,1,27,0,0.9537898914968166,40x40
DQN,138,11,11,1,12,0,0.9576579375156747,40x40
DQN,139,200,200,1,21,180,1.3388880562021825,40x40
DQN,140,200,5,0,6,195,1.7056892838060633,40x40
DQN,141,200,200,1,16,185,1.3507467638293857,40x40
DQN,142,200,200,0,18,183,1.3468646384230702,40x40
DQN,143,27,27,1,28,0,0.9535231639133812,40x40
DQN,144,200,20,0,21,180,1.541115463616767,40x40
DQN,145,200,42,0,43,158,1.3787899394412684,40x40
DQN,146,19,19,1,20,0,0.9556258629308245,40x40
DQN,147,42,42,1,43,0,0.9493875661406488,40x40
DQN,148,33,33,1,34,0,0.9518993128989226,40x40
DQN,149,12,12,1,13,0,0.9574077611992534,40x40
DQN,150,42,42,1,43,0,0.9493875661406488,40x40
ActiveInference,1,17,17,1,18,0,0.9561404697061998,40x40
ActiveInference,2,61,61,1,61,1,0.9447492261058574,40x40
ActiveInference,3,15,15,1,16,0,0.9566506752739603,40x40
ActiveInference,4,3,3,1,4,0,0.9596202680795951,40x40
ActiveInference,5,200,20,0,18,183,1.5485649778916237,40x40
ActiveInference,6,2,2,1,3,0,0.9598607026547633,40x40
ActiveInference,7,10,10,1,11,0,0.9579070239749632,40x40
ActiveInference,8,17,17,1,18,0,0.9561404697061998,40x40
ActiveInference,9,7,7,1,8,0,0.9586477624501535,40x40
ActiveInference,10,32,32,1,33,0,0.952172757611933,40x40
ActiveInference,11,55,55,1,56,0,0.9455970002142107,40x40
ActiveInference,12,12,12,1,13,0,0.9574077611992534,40x40
ActiveInference,13,16,16,1,17,0,0.9563961217991254,40x40
ActiveInference,14,21,21,1,22,0,0.9551068416926887,40x40
ActiveInference,15,9,9,1,10,0,0.9581550223910682,40x40
ActiveInference,16,20,20,1,21,0,0.955366904934499,40x40
ActiveInference,17,43,43,1,44,0,0.9491028228790023,40x40
ActiveInference,18,20,20,1,21,0,0.955366904934499,40x40
ActiveInference,19,20,20,1,21,0,0.955366904934499,40x40
ActiveInference,20,16,16,1,17,0,0.9563961217991254,40x40
ActiveInference,21,29,29,1,30,0,0.9529863593302038,40x40
ActiveInference,22,23,23,1,24,0,0.9545833930852325,40x40
ActiveInference,23,200,17,0,16,185,1.5666554551918146,40x40
ActiveInference,24,34,34,1,35,0,0.9516247438874706,40x40
ActiveInference,25,34,34,1,35,0,0.9516247438874706,40x40
ActiveInference,26,17,17,1,18,0,0.9561404697061998,40x40
ActiveInference,27,23,23,1,24,0,0.9545833930852325,40x40
ActiveInference,28,200,14,0,12,189,1.5926315889950595,40x40
ActiveInference,29,31,31,1,32,0,0.952445079351467,40x40
ActiveInference,30,200,41,0,39,162,1.391838027709771,40x40
ActiveInference,31,41,41,1,42,0,0.9496711742913566,40x40
ActiveInference,32,6,6,1,7,0,0.9588925078211195,40x40
ActiveInference,33,200,8,0,7,194,1.6567757681873376,40x40
ActiveInference,34,16,16,1,17,0,0.9563961217991254,40x40
ActiveInference,35,42,42,1,43,0,0.9493875661406488,40x40
ActiveInference,36,8,8,1,9,0,0.9584019345981007,40x40
ActiveInference,37,41,41,1,42,0,0.9496711742913566,40x40
ActiveInference,38,200,49,0,49,152,1.3376357865977757,40x40
ActiveInference,39,12,12,1,13,0,0.9574077611992534,40x40
ActiveInference,40,200,29,0,28,173,1.4673715763687947,40x40
ActiveInference,41,26,26,1,27,0,0.9537898914968166,40x40
ActiveInference,42,71,71,1,69,3,0.9439711891067432,40x40
ActiveInference,43,23,23,1,24,0,0.9545833930852325,40x40
ActiveInference,44,19,19,1,20,0,0.9556258629308245,40x40
ActiveInference,45,48,48,1,49,0,0.9476620432046126,40x40
